Name,Ville,Secteur,lat,lon
Snack bar Géant ,St Denis,Nord,-20.890651,55.462825
The S’wich,St Denis ,Nord,-20.882343,55.452387
Sham’s Pizza,St Denis ,Nord,-20.878572,55.451699
Snack Bassin Bleu,St Denis / Barachois,Nord,-20.872234,55.449336
O’Tropik ,St Denis / Montgaillard,Nord,-20.897288,55.468012
Snackbar Tikaz Iva ,Chaudron,Nord,-20.895989,55.492232
Le pti coin sandwicherie,St Clotilde,Nord,-20.893614427117708,55.500304273297296
Le Bonlendroit,La Possession,Ouest,-20.96397647371345,55.327763697519174
Snack Bar 974,Le Port,Ouest,-20.938079825202,55.29094198397467
Snack Bar Tintin,Le Port,Ouest,-20.94406244223353,55.28210550385035
Snack Meln’zo,St Louis,Sud,-21.29010707707102,55.41445247081066
Snack Étape à joie,St Louis,Sud,-21.2300176982323,55.446108934754164
Chez Philippe,St Pierre,Sud,-21.342674852754335,55.466188475295404
Snack Étoile de Mer,St Pierre,Sud,-21.340126984739488,55.459651548961176
CROQ WICH,St Pierre,Sud,-21.338966060746383,55.47455491627157
Snack de La Ravine Blanche,St Pierre,Sud,-21.33652252961838,55.45648842763697
Snack Lylla Glace,Tampon,Sud,-21.27255023060005,55.51275089816808
Chez Jérome,Tampon,Sud,-21.257102475784432,55.5085150424029
Chez Manman,Tampon,Sud,-21.276715621340724,55.521672498142934
Chez Le Cousin,St Joseph,Sud,-21.379409675487658,55.63516143985783
Pizza&Tacos Fleur de canne,St André,Est,-20.969918407530827,55.666580699749694
HB l’histoire sans faim,St André,Est,-21.03368363285731,55.71443351866454
Chez JOUJOU,St Benoit,Est,-21.040660749300415,55.71751821979163
Lenny & Gégé,St Pierre,	Sud,-21.34391743861433,55.46629514250475
